,Pred_Age,True_Age,Age_res,platform
GSM3853311,69.94222259521484,72.0,-2.0577774047851562,850k
GSM3853312,47.898353576660156,48.0,-0.10164642333984375,850k
GSM3853313,31.995248794555664,30.0,1.995248794555664,850k
GSM3853314,48.29698944091797,50.0,-1.7030105590820312,850k
GSM3853315,49.42482376098633,50.0,-0.5751762390136719,850k
GSM3853316,46.39168930053711,50.0,-3.6083106994628906,850k
GSM3853317,55.78938674926758,56.0,-0.21061325073242188,850k
GSM3853318,55.70415115356445,55.0,0.7041511535644531,850k
GSM3853319,68.51516723632812,70.0,-1.484832763671875,850k
GSM3853320,22.13144302368164,21.0,1.1314430236816406,850k
GSM3853321,45.16818618774414,45.0,0.16818618774414062,850k
GSM3853322,36.65021514892578,36.0,0.6502151489257812,850k
GSM3853323,60.24287796020508,61.0,-0.7571220397949219,850k
GSM3853324,44.47283935546875,46.0,-1.52716064453125,850k
GSM3853325,34.5414924621582,34.0,0.5414924621582031,850k
GSM3853326,48.96460723876953,49.0,-0.03539276123046875,850k
GSM3853327,48.4844970703125,47.0,1.4844970703125,850k
GSM3853328,48.60926055908203,48.0,0.6092605590820312,850k
GSM3853329,60.42982864379883,61.0,-0.5701713562011719,850k
GSM3853330,20.391218185424805,20.0,0.3912181854248047,850k
GSM3853331,46.221744537353516,46.0,0.22174453735351562,850k
GSM3853332,25.42356300354004,26.0,-0.5764369964599609,850k
GSM3853333,22.2163143157959,24.0,-1.7836856842041016,850k
GSM3853334,18.643648147583008,18.0,0.6436481475830078,850k
GSM3853335,42.42721176147461,43.0,-0.5727882385253906,850k
GSM3853336,32.08066177368164,35.0,-2.9193382263183594,850k
GSM3853337,48.31675720214844,50.0,-1.6832427978515625,850k
GSM3853338,48.87451934814453,51.0,-2.1254806518554688,850k
GSM3853339,50.23884582519531,52.0,-1.7611541748046875,850k
GSM3853340,47.018150329589844,47.0,0.01815032958984375,850k
GSM3853341,31.556379318237305,33.0,-1.4436206817626953,850k
GSM3853342,51.600337982177734,52.0,-0.3996620178222656,850k
GSM3853343,28.493579864501953,29.0,-0.5064201354980469,850k
GSM3853344,45.35578918457031,48.0,-2.6442108154296875,850k
GSM3853345,48.1929931640625,50.0,-1.8070068359375,850k
GSM3853346,43.356468200683594,43.0,0.35646820068359375,850k
GSM3853347,41.829139709472656,42.0,-0.17086029052734375,850k
GSM3853348,21.549196243286133,22.0,-0.4508037567138672,850k
GSM3853349,45.746971130371094,48.0,-2.2530288696289062,850k
GSM3853350,53.9553337097168,54.0,-0.044666290283203125,850k
GSM3853351,30.084339141845703,31.0,-0.9156608581542969,850k
GSM3853352,28.212451934814453,30.0,-1.7875480651855469,850k
GSM3853353,35.89521026611328,36.0,-0.10478973388671875,850k
GSM3853354,54.76493835449219,57.0,-2.2350616455078125,850k
GSM3853355,32.41243362426758,31.0,1.4124336242675781,850k
GSM3853356,62.945343017578125,63.0,-0.054656982421875,850k
GSM3853357,38.649715423583984,40.0,-1.3502845764160156,850k
GSM3853358,40.47297286987305,42.0,-1.5270271301269531,850k
GSM3853359,61.01350784301758,62.0,-0.9864921569824219,850k
GSM3853360,44.0997314453125,45.0,-0.9002685546875,850k
GSM3853361,51.040016174316406,53.0,-1.9599838256835938,850k
GSM3853362,38.3537483215332,40.0,-1.6462516784667969,850k
GSM3853363,61.80661392211914,64.0,-2.1933860778808594,850k
GSM3853364,24.421361923217773,26.0,-1.5786380767822266,850k
GSM3853365,33.2957763671875,33.0,0.2957763671875,850k
GSM3853366,43.40652847290039,45.0,-1.5934715270996094,850k
GSM3853367,51.87809371948242,53.0,-1.1219062805175781,850k
GSM3853368,28.458261489868164,29.0,-0.5417385101318359,850k
GSM3853369,53.9844970703125,55.0,-1.0155029296875,850k
GSM3853370,33.30643844604492,33.0,0.3064384460449219,850k
GSM3853371,50.324344635009766,51.0,-0.6756553649902344,850k
GSM3853372,54.88401794433594,56.0,-1.1159820556640625,850k
GSM3853373,43.21696853637695,45.0,-1.7830314636230469,850k
GSM3853374,18.34743309020996,19.0,-0.6525669097900391,850k
GSM3853375,49.526248931884766,51.0,-1.4737510681152344,850k
GSM3853376,33.53145217895508,36.0,-2.468547821044922,850k
GSM3853377,20.542469024658203,21.0,-0.4575309753417969,850k
GSM3853378,34.70491027832031,34.0,0.7049102783203125,850k
GSM3853379,31.63294792175293,32.0,-0.3670520782470703,850k
GSM3853380,20.762914657592773,20.0,0.7629146575927734,850k
GSM3853381,21.63610076904297,23.0,-1.3638992309570312,850k
GSM3853382,36.039493560791016,37.0,-0.9605064392089844,850k
GSM3853383,28.722023010253906,30.0,-1.2779769897460938,850k
GSM3853384,23.351041793823242,25.0,-1.6489582061767578,850k
GSM3853385,47.329891204833984,49.0,-1.6701087951660156,850k
GSM3853386,26.546403884887695,28.0,-1.4535961151123047,850k
GSM3853387,24.735715866088867,24.0,0.7357158660888672,850k
GSM3853388,52.13671875,52.0,0.13671875,850k
GSM3853389,50.38848114013672,51.0,-0.6115188598632812,850k
GSM3853390,64.87376403808594,65.0,-0.1262359619140625,850k
GSM3853391,21.51628875732422,21.0,0.5162887573242188,850k
GSM3853392,33.18911361694336,34.0,-0.8108863830566406,850k
GSM3853393,38.43497085571289,41.0,-2.5650291442871094,850k
GSM3853394,56.5655517578125,56.0,0.5655517578125,850k
GSM3853395,51.29132080078125,51.0,0.29132080078125,850k
GSM3853396,34.89754867553711,34.0,0.8975486755371094,850k
GSM3853397,59.70088195800781,58.0,1.7008819580078125,850k
GSM3853398,42.119693756103516,42.0,0.11969375610351562,850k
GSM3853399,30.75852394104004,32.0,-1.241476058959961,850k
GSM3853400,36.22922134399414,36.0,0.22922134399414062,850k
GSM3853401,52.76710891723633,53.0,-0.23289108276367188,850k
GSM3853402,57.6335563659668,58.0,-0.3664436340332031,850k
GSM3853403,53.368289947509766,55.0,-1.6317100524902344,850k
GSM3853404,20.607343673706055,20.0,0.6073436737060547,850k
GSM3853405,37.082889556884766,38.0,-0.9171104431152344,850k
GSM3853406,18.068288803100586,18.0,0.06828880310058594,850k
GSM3853407,38.197410583496094,39.0,-0.8025894165039062,850k
GSM3853408,36.4725227355957,34.0,2.472522735595703,850k
GSM3853409,47.723846435546875,48.0,-0.276153564453125,850k
GSM3853410,19.999258041381836,20.0,-0.0007419586181640625,850k
GSM3853411,34.33094024658203,35.0,-0.6690597534179688,850k
GSM3853412,19.989757537841797,19.0,0.9897575378417969,850k
GSM3853413,25.418113708496094,24.0,1.4181137084960938,850k
GSM3853414,61.68213653564453,62.0,-0.31786346435546875,850k
GSM3853415,45.6682243347168,48.0,-2.331775665283203,850k
GSM3853416,21.7709903717041,23.0,-1.2290096282958984,850k
GSM3853417,37.73194122314453,40.0,-2.2680587768554688,850k
GSM3853418,30.91541862487793,33.0,-2.0845813751220703,850k
GSM3853419,49.182464599609375,50.0,-0.817535400390625,850k
GSM3853420,45.17641830444336,47.0,-1.8235816955566406,850k
GSM3853421,18.91736602783203,19.0,-0.08263397216796875,850k
GSM3853422,54.14125442504883,54.0,0.14125442504882812,850k
GSM3853423,40.16307830810547,40.0,0.16307830810546875,850k
GSM3853424,30.200668334960938,32.0,-1.7993316650390625,850k
GSM3853425,45.885746002197266,45.0,0.8857460021972656,850k
GSM3853426,25.01398277282715,26.0,-0.9860172271728516,850k
GSM3853427,55.537235260009766,56.0,-0.4627647399902344,850k
GSM3853428,47.481842041015625,47.0,0.481842041015625,850k
GSM3853429,26.75370216369629,29.0,-2.246297836303711,850k
GSM3853430,45.272335052490234,46.0,-0.7276649475097656,850k
GSM3853431,61.34529113769531,61.0,0.3452911376953125,850k
GSM3853432,25.401765823364258,26.0,-0.5982341766357422,850k
GSM3853433,26.454172134399414,27.0,-0.5458278656005859,850k
